,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,B75_Span,B75_L,B75_R,B90_Span,B90_L,B90_R,B95_Span,B95_L,B95_R,Distinc_Test,A1,Mem_s
3011,30,-1,58,1,-1,12,0,1,12,1,1,1,0,7,0.010398614,0.666666667,0.333333333,0.177407676,0.706122449,0.293877551,0.300321199,0.590017825,0.409982175,0.408326745,0,0.5
3012,30,-1,58,1,-1,12,0,2,8,-1,0,0,0,0,0.001733102,0,1,0.001448226,0,1,0.001070664,0,1,0.494712683,0,0.2
3013,30,-1,58,1,-1,12,0,2,25,1,0,1,37,7,0.030329289,0.8,0.2,0.033309196,0.739130435,0.260869565,0.087794433,0.207317073,0.792682927,0.344124119,2,0.8
3014,30,-1,58,1,-1,12,0,2,19,-1,0,0,27,0,0.006932409,0.5,0.5,0.1564084,0.143518519,0.856481481,0.140256959,0.20610687,0.79389313,0.360304359,0,0.2
3015,30,-1,58,1,-1,12,0,2,24,1,0,1,10,0,0.013864818,0.125,0.875,0.057929037,0.425,0.575,0.115631692,0.472222222,0.527777778,0.343224794,0,0.3
3016,30,-1,58,1,-1,12,0,2,8,-1,1,1,15,26,0.008665511,0,1,0.028240406,0.743589744,0.256410256,0.090471092,0.556213018,0.443786982,0.377684122,2,0.8
3017,30,-1,58,1,-1,12,0,2,26,1,1,1,0,26,0.012131716,0.071428571,0.928571429,0.015930485,0.409090909,0.590909091,0.107601713,0.507462687,0.492537313,0.352109815,2,0.7
3018,30,-1,58,1,-1,12,0,2,11,-1,1,1,27,26,0.004332756,0.6,0.4,0.005068791,0.714285714,0.285714286,0.006959315,0.846153846,0.153846154,0.339236069,0,0.2
3019,30,-1,58,1,-1,12,0,2,21,1,1,1,31,0,0.173310225,0.135,0.865,0.191165822,0.223484848,0.776515152,0.145610278,0.231617647,0.768382353,0.347717792,2,0.8
3020,30,-1,58,1,-1,12,0,2,19,-1,1,1,0,26,0.009532062,0.909090909,0.090909091,0.1564084,0.208333333,0.791666667,0.140256959,0.259541985,0.740458015,0.47507739,2,0.7
3021,30,-1,58,1,-1,12,0,2,21,1,1,0,39,22,0.004332756,0.4,0.6,0.018826937,0.884615385,0.115384615,0.062633833,0.196581197,0.803418803,0.344870366,0,0.2
3022,30,-1,58,1,-1,12,0,2,20,-1,0,0,0,0,0.047660312,0.8,0.2,0.141202028,0.887179487,0.112820513,0.104389722,0.887179487,0.112820513,0.395863344,1,0
3023,30,-1,58,1,-1,12,0,2,21,1,0,1,0,0,0.173310225,0.85,0.15,0.191165822,0.765151515,0.234848485,0.145610278,0.757352941,0.242647059,0.43398482,2,0.8
3024,30,-1,58,1,-1,12,0,2,6,1,1,0,0,20,0.019930676,0.826086957,0.173913043,0.028964518,0.475,0.525,0.037473233,0.328571429,0.671428571,0.366666835,0,0.2
3025,30,-1,58,1,-1,12,0,2,8,-1,1,1,0,7,0.018197574,0.142857143,0.857142857,0.040550326,0.125,0.875,0.054068522,0.346534653,0.653465347,0.373088945,0,0.4
3026,30,-1,58,1,-1,12,0,2,22,-1,0,0,38,29,0.006932409,0.25,0.75,0.039826213,0.727272727,0.272727273,0.032655246,0.754098361,0.245901639,0.421274906,0,0.4
3027,30,-1,58,1,-1,12,0,2,26,1,0,1,28,26,0.009532062,1,0,0.015930485,0,1,0.107601713,0.129353234,0.870646766,0.425486406,1,0.1
3028,30,-1,58,1,-1,12,0,2,20,-1,0,1,0,0,0.003466205,0.25,0.75,0.004344678,0.5,0.5,0.003211991,0.5,0.5,0.372740529,0,0.4
3029,30,-1,58,1,-1,12,0,2,25,1,0,0,37,22,0.004332756,0.4,0.6,0.05141202,0.957746479,0.042253521,0.087794433,0.414634146,0.585365854,0.382712604,0,0.4
3030,30,-1,58,1,-1,12,0,2,17,-1,1,1,38,29,0.001733102,0.5,0.5,0.005792904,0.875,0.125,0.090471092,0.964497041,0.035502959,0.358894234,1,0.1
3031,30,-1,58,1,-1,12,0,2,24,1,1,1,0,26,0.008665511,0.7,0.3,0.045619117,0.26984127,0.73015873,0.115631692,0.101851852,0.898148148,0.358555409,2,0.8
3032,30,-1,58,1,-1,12,0,2,11,-1,0,0,15,22,0.012998267,0.333333333,0.666666667,0.039826213,0.581818182,0.418181818,0.120985011,0.14159292,0.85840708,0.345149049,2,0.8
3033,30,-1,58,1,-1,12,0,2,21,1,1,1,0,0,0.018197574,0.857142857,0.142857143,0.052136133,0.402777778,0.597222222,0.074946467,0.692857143,0.307142857,0.374174691,0,0.3
3034,30,-1,58,1,-1,12,0,2,11,-1,0,1,39,22,0.028596187,0.363636364,0.636363636,0.025343954,0.342857143,0.657142857,0.048179872,0.744444444,0.255555556,0.334903373,0,0.2
3035,30,-1,58,1,-1,12,0,2,26,1,1,1,28,26,0.008665511,0.3,0.7,0.015930485,0.681818182,0.318181818,0.107601713,0.2039801,0.7960199,0.421792295,0,0.2
3036,30,-1,58,1,-1,12,0,2,10,-1,0,1,16,29,0.006932409,0.375,0.625,0.130340333,0.494444444,0.505555556,0.1124197,0.495238095,0.504761905,0.386973364,1,0.1
3037,30,-1,58,1,-1,12,0,2,17,-1,1,1,12,26,0.009532062,0.090909091,0.909090909,0.020275163,0.642857143,0.357142857,0.090471092,0.863905325,0.136094675,0.370506594,2,0.9
3038,30,-1,58,1,-1,12,0,2,21,1,0,0,27,29,0.018197574,0.142857143,0.857142857,0.018826937,0.115384615,0.884615385,0.062633833,0.025641026,0.974358974,0.409759025,0,0.4
3039,30,-1,58,1,-1,12,0,2,17,-1,1,1,0,26,0.012131716,0.142857143,0.857142857,0.020275163,0.071428571,0.928571429,0.090471092,0.769230769,0.230769231,0.371697696,0,0.3
3040,30,-1,58,1,-1,12,0,2,24,1,1,1,0,26,0.008665511,0.8,0.2,0.045619117,0.285714286,0.714285714,0.115631692,0.106481481,0.893518519,0.352007626,2,0.8
3041,30,-1,58,1,-1,12,0,2,20,-1,0,0,0,0,0.054592721,0.19047619,0.80952381,0.141202028,0.4,0.6,0.104389722,0.4,0.6,0.473722972,2,0.6
3042,30,-1,58,1,-1,12,0,2,23,1,0,0,18,22,0.002599653,0,1,0.002172339,1,0,0.032655246,1,0,0.340000416,0,0.3
3043,30,-1,58,1,-1,12,0,2,3,1,0,1,23,29,0.002599653,0.333333333,0.666666667,0.057929037,0.0125,0.9875,0.214132762,0.2325,0.7675,0.352476651,0,0.4
3044,30,-1,58,1,-1,12,0,2,20,-1,0,1,0,26,0.047660312,0.781818182,0.218181818,0.141202028,0.882051282,0.117948718,0.104389722,0.882051282,0.117948718,0.384950332,1,0.1
3045,30,-1,58,1,-1,12,0,2,19,-1,1,1,27,0,0.009532062,0.454545455,0.545454545,0.1564084,0.185185185,0.814814815,0.140256959,0.240458015,0.759541985,0.341120845,2,0.8
3046,30,-1,58,1,-1,12,0,2,21,1,1,1,27,26,0.009532062,0.363636364,0.636363636,0.007965243,0.363636364,0.636363636,0.074946467,0.542857143,0.457142857,0.494187069,2,0.9
3047,30,-1,58,1,-1,12,0,2,3,1,0,0,10,20,0.013864818,0.1875,0.8125,0.070238957,0.216494845,0.783505155,0.084582441,0.132911392,0.867088608,0.349950886,2,0.8
3048,30,-1,58,1,-1,12,0,2,11,-1,0,1,12,29,0.005199307,0.666666667,0.333333333,0.004344678,0.666666667,0.333333333,0.120985011,0.64159292,0.35840708,0.396824357,1,0.1
3049,30,-1,58,1,-1,12,0,2,20,-1,1,1,0,0,0.054592721,0.952380952,0.047619048,0.141202028,0.646153846,0.353846154,0.104389722,0.646153846,0.353846154,0.360050798,2,0.6
3050,30,-1,58,1,-1,12,0,2,21,1,0,0,0,0,0.173310225,0.075,0.925,0.191165822,0.178030303,0.821969697,0.145610278,0.1875,0.8125,0.494770348,2,0.9
3051,30,-1,58,1,-1,12,0,2,17,-1,0,0,0,0,0.066724437,0.948051948,0.051948052,0.062997828,0.896551724,0.103448276,0.090471092,0.704142012,0.295857988,0.48620031,2,0.9
3052,30,-1,58,1,-1,12,0,2,21,1,1,1,0,14,0.009532062,0,1,0.052136133,0.847222222,0.152777778,0.074946467,0.435714286,0.564285714,0.374162678,0,0.5
3053,30,-1,58,1,-1,12,0,2,10,-1,0,0,10,21,0.018197574,0.571428571,0.428571429,0.057929037,0.6,0.4,0.049250535,0.652173913,0.347826087,0.350592757,0,0.2
3054,30,-1,58,1,-1,12,0,2,24,1,0,0,10,0,0.013864818,0.875,0.125,0.057929037,0.575,0.425,0.115631692,0.527777778,0.472222222,0.353255855,2,0.7
3055,30,-1,58,1,-1,12,0,2,3,1,1,1,0,0,0.022530329,0.576923077,0.423076923,0.018826937,0.576923077,0.423076923,0.214132762,0.505,0.495,0.456738419,2,0.8
3056,30,-1,58,1,-1,12,0,2,22,-1,0,1,40,20,0.006932409,0.375,0.625,0.094134685,0.838461538,0.161538462,0.069593148,0.838461538,0.161538462,0.361468717,0,0.2
3057,30,-1,58,1,-1,12,0,2,20,-1,0,1,30,29,0.047660312,0.8,0.2,0.141202028,0.282051282,0.717948718,0.104389722,0.282051282,0.717948718,0.364394651,0,0.2
3058,30,-1,58,1,-1,12,0,2,26,1,0,1,22,0,0.024263432,0.928571429,0.071428571,0.146994931,0.128078818,0.871921182,0.108672377,0.128078818,0.871921182,0.380418629,0,0.3
